source_id,source,latitude,longitude,event_date,spatial_block_id
10979,NASA_GLC,25.195355,93.172758,2017-04-04,block_50_186
10968,NASA_GLC,24.27173018,93.28039349,2017-07-09,block_48_186
11169,NASA_GLC,27.05957271,93.50102778,2017-07-09,block_54_187
11155,NASA_GLC,25.72019272,94.03225673,2017-07-08,block_51_188
11154,NASA_GLC,25.77171292,93.93507183,2017-04-07,block_51_187
11166,NASA_GLC,27.07671517,93.59755441,2017-07-09,block_54_187
11151,NASA_GLC,25.06466676,94.27420555,2017-07-08,block_50_188
11403,NASA_GLC,23.73672831,92.7516868,2018-05-12,block_47_185
319,NASA_GLC,25.4379,94.1162,2007-10-19,block_50_188
2415,NASA_GLC,25.63961883,94.11112157,2010-09-12,block_51_188
7385,NASA_GLC,24.004,93.9815,2015-08-01,block_48_187
3683,NASA_GLC,25.8782,94.1739,2011-07-01,block_51_188
7956,NASA_GLC,26.048,91.8695,2015-09-05,block_52_183
1857,NASA_GLC,25.3433,92.2897,2010-05-11,block_50_184
9232,NASA_GLC,23.5397,93.3783,2016-07-28,block_47_186
3944,NASA_GLC,27.7344,88.633,2011-08-25,block_55_177
7335,NASA_GLC,25.5145,90.2023,2015-08-18,block_51_180
3643,NASA_GLC,27.2879,88.2579,2011-06-23,block_54_176
2106,NASA_GLC,26.8716,94.9921,2010-07-20,block_53_189
2411,NASA_GLC,27.0011,93.7273,2010-09-10,block_54_187
9124,NASA_GLC,25.203,90.5573,2016-07-19,block_50_181
2421,NASA_GLC,23.75406693,92.74128531,2010-09-13,block_47_185
5268,NASA_GLC,26.0137,94.5163,2013-08-04,block_52_189
2405,NASA_GLC,28.3036,95.4112,2010-09-09,block_56_190
2345,NASA_GLC,27.3392,88.6188,2010-08-27,block_54_177
9869,NASA_GLC,26.88161,95.399897,2016-08-16,block_53_190
9934,NASA_GLC,27.01145644,92.64204045,2017-07-01,block_54_185
322,NASA_GLC,24.75,93.4333,2007-10-21,block_49_186
5442,NASA_GLC,27.1614,93.7525,2013-09-02,block_54_187
