source,source_id,source_ref,latitude,longitude,state,district,location_description,landslide_type,trigger,event_date,temporal_precision,fatalities,injuries,location_accuracy,original_record_reference,valid_coordinates,valid_date,duplicate_source_id,duplicate_coordinates
NASA_GLC,6513,1537970,23.0137,91.7174,Tripura,,Sabroom,mudslide,downpour,2014-08-14,day,3,0,5km,New Indian Express,TRUE,TRUE,FALSE,FALSE
NASA_GLC,10988,1537991,25.82601444,91.87113067,Meghalaya,,"Pahamrynnai, Ribhoi, Meghalaya",landslide,continuous_rain,2017-07-09,day,0,0,1km,The Shillong Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,11172,1538026,27.0844941,93.60505989,Arunachal Pradesh,,"Niti Vihar, Itanagar, Arunachal Pradesh, India",landslide,continuous_rain,2017-07-09,day,0,0,5km,Arunachal Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,11165,1538037,27.092916,93.61882043,Arunachal Pradesh,,"Civil Secretariat, Itanagar, Arunachal Pradesh, India",landslide,continuous_rain,2017-07-09,day,0,0,exact,Arunachal Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2341,1538080,27.2319,88.497,Sikkim,,"NH-31A at Topakhani tunnel(?) and fruit preservation factory(?) and Chisopani bridge(?), near Singtam and Gangtok and Rangpo, Sikkim",landslide,downpour,2010-08-26,day,0,0,10km,thehimalayanbeacon.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2098,1538084,26.7215,95.0283,Nagaland,,"Jahjon ward(?), Mon town, Nagaland",landslide,downpour,2010-07-19,day,0,0,5km,nagalandpost,TRUE,TRUE,FALSE,FALSE
NASA_GLC,594,1538123,24.9336,93.8275,Manipur,,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur",mudslide,monsoon,2008-06-19,day,0,0,25km,kanglaonline,TRUE,TRUE,FALSE,FALSE
NASA_GLC,3813,1538134,27.1141,88.4658,Sikkim,,National Highway 31A in West Bengal's Darjeeling district,landslide,rain,2011-07-20,day,0,0,25km,twocircles.net,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2044,1538148,25.8877,94.7861,Nagaland,,"Kiphire,  Nagaland",mudslide,monsoon,2010-07-06,day,0,0,5km,morungexpress,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2304,1539407,25.5718,94.1211,Manipur,,"NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland",landslide,downpour,2010-08-21,day,0,0,10km,e-pao,TRUE,TRUE,FALSE,FALSE
NASA_GLC,7388,1539438,24.416,94.0984,Manipur,,Senam,landslide,continuous_rain,2015-08-01,day,0,0,5km,E-PAO,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2425,1539456,23.3439,93.0748,Mizoram,,"near Tuichang(?) on Tuichang river, Aizawl-Champhai rd, Mizoram",landslide,downpour,2010-09-13,day,0,0,25km,Mizoram Express,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2579,1539472,25.682,94.1076,Nagaland,,"Lower Pezielietsie(Tinpati), Kohima, Manipur",landslide,downpour,2010-10-09,day,0,0,1km,indianexpress,TRUE,TRUE,FALSE,FALSE
NASA_GLC,4446,1539501,28.9986,94.8885,Arunachal Pradesh,,"Tuting, Upper Siang , Arunachal Pradesh",landslide,downpour,2012-07-05,day,0,0,5km,articles.timesofindia,TRUE,TRUE,FALSE,FALSE
NASA_GLC,4610,1539506,23.7705,92.5217,Mizoram,,"Dapchhuah, Mamit, Mizoram",landslide,downpour,2012-11-11,day,4,0,5km,assamtribune,TRUE,TRUE,FALSE,FALSE
NASA_GLC,5275,1539534,26.1498,94.6055,Nagaland,,"Suruhuto Town, Nagaland",landslide,monsoon,2013-08-04,day,0,0,10km,www.nagalandpost.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2424,1539618,23.591,92.9296,Mizoram,,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",landslide,downpour,2010-09-13,day,0,0,25km,Mizoram Express,TRUE,TRUE,FALSE,FALSE
NASA_GLC,78,1539619,27.3383,88.6069,Sikkim,,"Pangthang, on road b/t Gangtok and North Sikkim",landslide,rain,2007-05-23,day,0,0,50km,Sikkim times.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9168,1539634,27.6438,93.871,Arunachal Pradesh,,"NH 13 10 kilometers from Old Ziro, Arunachal Pradesh, India",landslide,downpour,2016-06-12,day,0,0,10km,Arunachal Times,TRUE,TRUE,FALSE,FALSE
